a3,a2,a1,a0,st_range,end_range
-0.067823,-1.675372,-6.247717,49.709762,-8.233979,-20.357274
1.354332,85.178248,1761.855240,12047.628785,-20.357274,-24.823752
1.917250,127.099452,2802.496803,20658.504702,-24.823752,-21.952445
-0.023711,-0.727049,-3.607399,124.888783,-21.952445,-7.276877
0.003380,-0.135638,0.696223,135.327757,-7.276877,17.926817
-0.001034,0.101739,-3.559185,160.756399,17.926817,34.197555
0.000143,-0.018969,0.568727,113.701564,34.197555,53.977669
0.000384,-0.058123,2.682141,75.675846,53.977669,73.757783
0.005539,-1.198664,86.805976,-1992.586678,73.757783,87.157215
-0.016299,4.511367,-410.864485,12465.937093,87.157215,92.261760
