a0,a1,a2,a3,st_range,end_range
-21897.961637,-2695.570124,-109.376019,-1.468701,-24.823752,-21.952445
17560.388600,2696.770067,136.261322,2.261139,-21.952445,-20.357274
1908.114502,390.134052,22.953619,0.405820,-20.357274,-8.233979
-2209.250800,-1110.002891,-159.234964,-6.969657,-8.233979,-7.276877
523.890601,16.775073,-4.391337,0.123295,-7.276877,17.926817
1562.180928,-156.979757,5.301116,-0.056927,17.926817,34.197555
-1178.695673,83.465202,-1.729941,0.011607,34.197555,53.977669
1095.483097,-42.930332,0.611685,-0.002854,53.977669,73.757783
-2907.974617,119.905001,-1.596019,0.007123,73.757783,87.157215
13331.561679,-439.068906,4.817379,-0.017405,87.157215,92.261760
